"id"	"codigo_localidad"	"codigo_postal"	"nombre_localidad"	"nombre_localidad_resumido"	"id_departamento"	"id_provincia"	"ver"
737	737		PORTELA, IRINEO	PORTELA, IRINEO	30	1	v.1
2795	2795		MONTE RICO	MONTE RICO	289	9	v.1
4701	4701		MONTE FLORES	MONTE FLORES	503	20	v.1
1988	1988		RIO SEGUNDO	RIO SEGUNDO	226	5	v.1
411	411		GUAMINI	GUAMINI	21	1	v.1
3663	3663		KILOMETRO 966	KILOMETRO 966	420	15	v.1
339	339	1602	FLORIDA	FLORIDA	48	1	v.1
400	400		GORCHS	GORCHS	97	1	v.1
3763	3763		CAMPO SANTO	CAMPO SANTO	447	16	v.1
52	52		ANDERSON	ANDERSON	5	1	v.1
1173	1173		COLONIA BRAVO	COLONIA BRAVO	171	3	v.1
213	213		COCHRANE	COCHRANE	18	1	v.1
2061	2061		SANTA MARIA	SANTA MARIA	204	5	v.1
4513	4513		COLONIA MASCIAS	COLONIA MASCIAS	525	20	v.1
3245	3245		LA CARRODILLA	LA CARRODILLA	370	12	v.1
1815	1815		LEGUIZAMON	LEGUIZAMON	230	5	v.1
3563	3563		PICUN LEUFU	PICUN LEUFU	412	14	v.1
1692	1692		KILOMETRO 136 ,EMP.	KILOMETRO 136 ,EMP.	203	5	v.1
1660	1660		GENERAL ORTIZ DE OCAMPO ,AP.	GENERAL ORTIZ DE OCA	205	5	v.1
3980	3980		YARIGUARENDA	YARIGUARENDA	444	16	v.1
5007	5007		LAS LOMITAS BLANCAS	LAS LOMITAS BLANCAS	532	21	v.1
2582	2582		SANTA ANA	SANTA ANA	274	7	v.1
